"","Year","Area","Street","Street 2"
"110",2011,"Birmingham","Knowle  Rd,  Small  Heath,  Bham",NA
"111",2011,"Birmingham","Ladypool  rd.",NA
"112",2011,"Birmingham","Ladypool  rd.",NA
"113",2011,"Birmingham","Ladywell  Walk",NA
"114",2011,"Birmingham","Lea  Hall  Rd",NA
"115",2011,"Birmingham","Lea  Hall  Rd",NA
"116",2011,"Birmingham","Lea  Village,  Stechford",NA
"117",2011,"Birmingham","Lenches  Close,  Mosley",NA
"118",2011,"Birmingham","Lime  Tree  rd.",NA
"119",2011,"Birmingham","Lode  Lane  @  Hermitage  rd.",NA
"120",2011,"Birmingham","Long  str.",NA
"121",2011,"Birmingham","Long  str..  Sparkhill",NA
"122",2011,"Birmingham","Longbridge  Lane",NA
"123",2011,"Birmingham","Longmeadow  Crescent  Shard  End  ,  Bham",NA
"124",2011,"Birmingham","Maccadown  Lane",NA
"125",2011,"Birmingham","Masshouse  Lane",NA
"126",2011,"Birmingham","Meadwaym  Stechford",NA
"127",2011,"Birmingham","Mickleover  rd.,  Bromford",NA
"128",2011,"Birmingham","Moorcroft  rd.",NA
"129",2011,"Birmingham","Moseley  rd.",NA
"130",2011,"Birmingham","Moseley  rd.",NA
"131",2011,"Birmingham","Moseley  rd.",NA
"132",2011,"Birmingham","Moseley  rd.",NA
"133",2011,"Birmingham","Moseley  Village",NA
"134",2011,"Birmingham","Moseley  Village",NA
"135",2011,"Birmingham","Moseley  Village,  Alcester  rd.",NA
"136",2011,"Birmingham","Mosley  All  Services  Club,  Church  rd.,  Moseley.",NA
"137",2011,"Birmingham","Nearlands  Close  Quinton",NA
"138",2011,"Birmingham","New  str.",NA
"139",2011,"Birmingham","Northfield  High  str.",NA
"140",2011,"Birmingham","O/S  Behans,  H Ghf Eld  rd.,  B Llesley",NA
"141",2011,"Birmingham","O/S  The  Junction,  Mosley  Village",NA
"142",2011,"Birmingham","O/S  Washwood  Heath  rd.",NA
"143",2011,"Birmingham","Oakhill  rd.,  Acocks  Green",NA
"144",2011,"Birmingham","Opp  White  Hart  Lane  Cooks  Lane",NA
"145",2011,"Birmingham","Opposite,  Ald ,  Stratford  rd.",NA
"146",2011,"Birmingham","Outside  Java  Lounge  Alcester  rd.",NA
"147",2011,"Birmingham","Outside  O2  Academy  Night  Club  B'ham  City  Centre",NA
"148",2011,"Birmingham","Outside  Raven  Public  House",NA
"149",2011,"Birmingham","Packington  av.,  Shard  End",NA
"150",2011,"Birmingham","Park  Off  Hob  Moor  rd.",NA
"151",2011,"Birmingham","Parkhall  Croft",NA
"152",2011,"Birmingham","Pear  Tree  Ph",NA
"153",2011,"Birmingham","Police  Station",NA
"154",2011,"Birmingham","Police  Station  Stechford",NA
"155",2011,"Birmingham","Poplar  rd.",NA
"156",2011,"Birmingham","Poplar  rd.",NA
"157",2011,"Birmingham","Poplar  rd.  ,  Solihull",NA
"158",2011,"Birmingham","Poplar  rd.,  Solihull",NA
"159",2011,"Birmingham","Preston  rd.",NA
"160",2011,"Birmingham","Priory  rd.,  Hall  Green",NA
"161",2011,"Birmingham","Prospect  rd.",NA
"162",2011,"Birmingham","Queenswood  rd.",NA
"163",2011,"Birmingham","Rear  Of  Boots,  High  str.",NA
"164",2011,"Birmingham","Redd Ngs  Lane,  Tsyley",NA
"165",2011,"Birmingham","Richmond  Primary  Care  Centre,  Richmond  rd.,  Stechford",NA
"166",2011,"Birmingham","Ring  rd.,  Stourbridge",NA
"167",2011,"Birmingham","Sainsburys,  Wawrick  rd.",NA
"168",2011,"Birmingham","Sainsburys.  Alcester  rd.  South",NA
"169",2011,"Birmingham","Sandford  rd.  Moseley",NA
"170",2011,"Birmingham","Sarehole  Mill",NA
"171",2011,"Birmingham","Sedgemere  rd.",NA
"172",2011,"Birmingham","Shirley  rd.",NA
"173",2011,"Birmingham","Shirley  rd.",NA
"174",2011,"Birmingham","Snow  Hill",NA
"175",2011,"Birmingham","Solihull  Lane",NA
"176",2011,"Birmingham","St  Mary's  rd.,  Moseley",NA
"177",2011,"Birmingham","St  Marys  Row",NA
"178",2011,"Birmingham","Station  rd.",NA
"179",2011,"Birmingham","Station  Way,  Birmingham   Nternational  Rail  Station",NA
"180",2011,"Birmingham","Stechford  Front  Office",NA
"181",2011,"Birmingham","Stechford  P.s.",NA
"182",2011,"Birmingham","Stechford  Retail  Park.",NA
"183",2011,"Birmingham","Stonehenge  Croft  Druids  Heath",NA
"184",2011,"Birmingham","Stoney  Lane",NA
"185",2011,"Birmingham","Stoney  Lane",NA
"186",2011,"Birmingham","Stoney  Lane",NA
"187",2011,"Birmingham","Stratford  Heath,  Spark  H Ll,  B Rm Ngham",NA
"188",2011,"Birmingham","Stratford  rd.",NA
"189",2011,"Birmingham","Stratford  rd.",NA
"190",2011,"Birmingham","Stratford  rd.",NA
"191",2011,"Birmingham","Stratford  rd.,  Hall  Green",NA
"192",2011,"Birmingham","Stratford  rd.s",NA
"193",2011,"Birmingham","Stuart  rd.,  Stechford",NA
"194",2011,"Birmingham","Talbort  str.",NA
"195",2011,"Birmingham","Taunton  rd.",NA
"196",2011,"Birmingham","Tavistock  rd.",NA
"197",2011,"Birmingham","The  av.",NA
"198",2011,"Birmingham","The  Paer  Tree  Pub",NA
"199",2011,"Birmingham","Trafalger  rd.",NA
"200",2011,"Birmingham","Wake  Green  rd.",NA
"201",2011,"Birmingham","Ward  End  rd.",NA
"202",2011,"Birmingham","Warwick  rd.",NA
"203",2011,"Birmingham","Warwick  rd.",NA
"204",2011,"Birmingham","Warwick  rd.",NA
"205",2011,"Birmingham","Warwick  rd.",NA
"206",2011,"Birmingham","Warwick  rd.",NA
"207",2011,"Birmingham","Warwick  rd.  Tysley",NA
"208",2011,"Birmingham","Wash  Lane",NA
"209",2011,"Birmingham","Washford  Heath  rd.",NA
"210",2011,"Birmingham","Washwood  Heath  Pub",NA
"211",2011,"Birmingham","Washwood  Heath  Rd,  Washwood  Heath,  Bham",NA
"212",2011,"Birmingham","Washwood  Heath  rd.",NA
"213",2011,"Birmingham","Washwood  Heath  rd.",NA
"214",2011,"Birmingham","Washwood  Heath  rd.",NA
"215",2011,"Birmingham","Washwood  Heath  rd.",NA
"216",2011,"Birmingham","Watery  Lane  Middleway,  Birmingham",NA
"217",2011,"Birmingham","Wawrick  rd.",NA
"218",2011,"Birmingham","Welshfarm  rd.,  Quinton",NA
"219",2011,"Birmingham","Westley  rd.",NA
"220",2011,"Birmingham","Westley  rd.,  Acocks  Green",NA
"221",2011,"Birmingham","White  Hart  Public  House",NA
"222",2011,"Birmingham","White  Hart  Public  House",NA
"223",2011,"Birmingham","Whiteheart  Pub,  Gressell  Lane",NA
"224",2011,"Birmingham","William  Hill  Bookmakers,  Washwood  Heath  rd.",NA
"225",2011,"Birmingham","William  Hill  Bookmakers,  Washwood  Heath  rd.",NA
"226",2011,"Birmingham","William  Hill  Washwood  Heath  rd.",NA
"227",2011,"Birmingham","Windward  rd.",NA
"228",2011,"Birmingham","Windward  rd.",NA
"229",2011,"Birmingham","Wood  End  rd.,  Erdington",NA
"230",2011,"Birmingham","Woodbridge  rd.,  Moseley",NA
"231",2011,"Birmingham","Wright  str.",NA
"232",2011,"Birmingham","Yardley  Green  rd.",NA
"233",2011,"Birmingham","Yardley  rd.  Acocks  Green",NA
"234",2011,"Birmingham","Yardley  Wood  rd.",NA
"235",2011,"Birmingham","Yardley  Wood  rd.",NA
"236",2011,"Birmingham","Yew  Tree  Car  Park",NA
"237",2011,"Birmingham","Yew  Tree  Lane",NA
"238",2011,"Birmingham","Yew  Tree  Public  House  Car  Park.",NA
"239",2011,"Birmingham","Armada  Pub,  Slade  rd.,  Erdington,  Birmingham",NA
"240",2011,"Birmingham","Armarda  Pub,    Gravelly  Hill",NA
"241",2011,"Birmingham","Armarda  Pub,  Gravelly  Hill",NA
"242",2011,"Birmingham","Badgers  Bank  rd.",NA
"243",2011,"Birmingham","Baldmoor  Lake  rd.,  Erdington,  Birmingham.",NA
"244",2011,"Birmingham","Bandywood  Rd,  Kingstanding",NA
"245",2011,"Birmingham","Beckenham  rd.",NA
"246",2011,"Birmingham","Beeches  Walk",NA
"247",2011,"Birmingham","B Rm Ngham  Rd",NA
"248",2011,"Birmingham","B Rm Ngham  Rd",NA
"249",2011,"Birmingham","Birmingham  Rd,  Sc",NA
"250",2011,"Birmingham","Birmingham  rd.",NA
"251",2011,"Birmingham","Birmingham  rd.",NA
"252",2011,"Birmingham","Birmingham  rd.  Sutton",NA
"253",2011,"Birmingham","Birmingham  rd.,  Erdington",NA
"254",2011,"Birmingham","Birmingham  rd.,  Sutton  Coldfield",NA
"255",2011,"Birmingham","Birmingham  rd.,  Sutton  Coldfield",NA
"256",2011,"Birmingham","Bowl Ng  Green  Close",NA
"257",2011,"Birmingham","Bracebridge  rd.,  Erdington",NA
"258",2011,"Birmingham","Brassington  av.",NA
"259",2011,"Birmingham","Bromford  Lane",NA
"260",2011,"Birmingham","Bromford  Lane,  Erdington,  B'ham",NA
"261",2011,"Birmingham","Brookvale  Park  rd.",NA
"262",2011,"Birmingham","Carhampton  rd.,  Falcon  Lodge,  Sutton  Colfield",NA
"263",2011,"Birmingham","Carshalton  rd.",NA
"264",2011,"Birmingham","Carshorlton  rd.",NA
"265",2011,"Birmingham","Chester  Rd",NA
"266",2011,"Birmingham","Chester  rd.",NA
"267",2011,"Birmingham","Chester  rd.,  Halls  Garden  Centre",NA
"268",2011,"Birmingham","Church  Rd  At  Chester  Rd",NA
"269",2011,"Birmingham","College  rd.,  Kingstanding,  B'ham",NA
"270",2011,"Birmingham","College  rd.,  Kingstanding,  B'ham",NA
"271",2011,"Birmingham","Copshill  Court,  Mount  View,  Sutton  Coldfield",NA
"272",2011,"Birmingham","Dovedale  rd.,  Erdington,  B'ham",NA
"273",2011,"Birmingham","Downside  rd.,  Erdington,  B'ham",NA
"274",2011,"Birmingham","Eachelhurt  rd.,  Erdington",NA
"275",2011,"Birmingham","Erd Ngton  Hall  rd.",NA
"276",2011,"Birmingham","Erd Ngton  Hall  rd.",NA
"277",2011,"Birmingham","Erdington  High  str.",NA
"278",2011,"Birmingham","Fentham  rd.,  Erdington,  B'ham",NA
"279",2011,"Birmingham","F Nchley  rd.",NA
"280",2011,"Birmingham","Finchley  rd.,  Kingstanding,  B'ham",NA
"281",2011,"Birmingham","George  Freder Ck  rd.",NA
"282",2011,"Birmingham","Golden  Pond  Take  Away  Aa Ya   Boldmere  rd.",NA
"283",2011,"Birmingham","Good  Hope  Hospital",NA
"284",2011,"Birmingham","Gracechurch  Centre",NA
"285",2011,"Birmingham","Gracechurch  Centre,  Outside  Supercigs",NA
"286",2011,"Birmingham","Gracechurch  Shopping  Centre,  Sutton  Coldfield",NA
"287",2011,"Birmingham","Grassed  Area  ,  Pype  Hayes  Park....",NA
"288",2011,"Birmingham","Gravelley  Lane",NA
"289",2011,"Birmingham","Gravelley  Lane",NA
"290",2011,"Birmingham","Gravelley  Lane",NA
"291",2011,"Birmingham","Gravelly  Lane,  Erdington,  Birmingham",NA
"292",2011,"Birmingham","Hairy  Lemon  Pub  .Sutton  Coldfield",NA
